Compound,Ionization_Mode,Score,Mass,Retention_Time,Frequency,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Mean_MB,Median_MB,STD_MB,CV_MB,N_Abun_MB,Mean_53_T,Median_53_T,STD_53_T,CV_53_T,N_Abun_53_T,Mean_54_T,Median_54_T,STD_54_T,CV_54_T,N_Abun_54_T,Mean_55_T,Median_55_T,STD_55_T,CV_55_T,N_Abun_55_T,Mean_56_T,Median_56_T,STD_56_T,CV_56_T,N_Abun_56_T,Mean_57_T,Median_57_T,STD_57_T,CV_57_T,N_Abun_57_T,Mean_58_T,Median_58_T,STD_58_T,CV_58_T,N_Abun_58_T,Mean_59_T,Median_59_T,STD_59_T,CV_59_T,N_Abun_59_T,Mean_60_T,Median_60_T,STD_60_T,CV_60_T,N_Abun_60_T,Mean_45_T,Median_45_T,STD_45_T,CV_45_T,N_Abun_45_T,Mean_46_T,Median_46_T,STD_46_T,CV_46_T,N_Abun_46_T,Mean_47_T,Median_47_T,STD_47_T,CV_47_T,N_Abun_47_T,Mean_48_T,Median_48_T,STD_48_T,CV_48_T,N_Abun_48_T,Mean_49_T,Median_49_T,STD_49_T,CV_49_T,N_Abun_49_T,Mean_50_T,Median_50_T,STD_50_T,CV_50_T,N_Abun_50_T,Mean_51_T,Median_51_T,STD_51_T,CV_51_T,N_Abun_51_T,Mean_52_T,Median_52_T,STD_52_T,CV_52_T,N_Abun_52_T,is_Formate_Adduct,has_Formate_Adduct,unique_Formate_Number,is_H2O_Adduct,has_H2O_Adduct,unique_H2O_Number,is_Ammonium_Adduct,has_Ammonium_Adduct,unique_Ammonium_Number,is_CO2_Adduct,has_CO2_Adduct,unique_CO2_Number,is_Na_Adduct,has_Na_Adduct,unique_Na_Number,Rounded_Mass,Median_ALLSamples,SampletoBlanks_ratio,Median_ALLMB,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_60_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T,BlankSub_Median_ALLSamples
C14H18NO2,,95.96,232.1335,6.6860023,51,,,,3611144.0,3315702.0,3595099.0,3938844.0,2207641.0,4012808.0,3920622.0,3437021.0,3860349.0,2933087.0,2659904.0,2424853.0,2741105.0,4690250.0,2936941.0,4248157.0,2090228.0,4335483.0,3157009.0,3946466.0,3892084.0,2829516.0,2832022.0,2854690.0,2466021.0,4477285.0,723312.0,158949.0,6767122.0,53360.0,526719.0,1393126.0,4247259.0,327557.0,1127712.0,399143.0,3323727.0,4138480.0,5585588.0,5397534.0,5876227.0,5264974.0,5984975.0,5120091.0,6755370.0,3853136.0,3818383.0,2888289.0,,,,,0,3507315.0,3595099.0,166136.0,0.05,3,3386431.0,3938844.0,1021532.0,0.3,3,3739331.0,3860349.0,263537.0,0.07,3,2672615.0,2659904.0,254355.0,0.1,3,3456099.0,2936941.0,1073282.0,0.31,3,3557956.0,4248157.0,1271839.0,0.36,3,3665186.0,3892084.0,440934.0,0.12,3,2838743.0,2832022.0,13868.0,0.0,3,2555539.0,2466021.0,1878587.0,0.74,3,2326477.0,158949.0,3846074.0,1.65,3,2055701.0,1393126.0,1946756.0,0.95,3,618137.0,399143.0,442754.0,0.72,3,4349265.0,4138480.0,1145568.0,0.26,3,5512912.0,5397534.0,321546.0,0.06,3,5953479.0,5984975.0,818094.0,0.14,3,3519936.0,3818383.0,547298.0,0.16,3,,,,,,,,,,,,,,,,232.0,3706741.0,,0.0,3595099.0,3938844.0,3860349.0,2659904.0,2936941.0,4248157.0,3892084.0,2832022.0,2466021.0,158949.0,1393126.0,399143.0,4138480.0,5397534.0,5984975.0,3818383.0,3706741.0
C6H2BrF2N3 12.514,,52.56,232.94099999999997,12.514000000000001,51,,,,19795.0,,24489.0,,,12065.0,27994.0,,,25090.0,24409.0,,43406.0,27689.0,31971.0,,,25184.0,,20419.0,30467.0,,21479.0,,36797.0,61273.0,153795.0,,28477.0,100196.0,54830.0,37643.0,30970.0,95118.0,28444.0,69264.0,,,30725.0,32467.0,118764.0,61916.0,,13030.0,,18996.0,12862.0,27214.0,,,,,0,22142.0,22142.0,3319.0,0.15,2,12065.0,12065.0,,,1,27994.0,27994.0,,,1,24750.0,24750.0,482.0,0.02,2,34355.0,31971.0,8125.0,0.24,3,25184.0,25184.0,,,1,25443.0,25443.0,7105.0,0.28,2,21479.0,21479.0,,,1,83955.0,61273.0,61709.0,0.74,3,64336.0,64336.0,50713.0,0.79,2,41148.0,37643.0,12310.0,0.3,3,64275.0,69264.0,33616.0,0.52,3,30725.0,30725.0,,,1,71049.0,61916.0,43867.0,0.62,3,13030.0,13030.0,,,1,19691.0,18996.0,7201.0,0.37,3,,,,,,,,,,,,,,,,233.0,26718.0,,0.0,22142.0,12065.0,27994.0,24750.0,31971.0,25184.0,25443.0,21479.0,61273.0,64336.0,37643.0,69264.0,30725.0,61916.0,13030.0,18996.0,26718.0
C5H4ClN5O2S,,56.32,232.9782,1.2850001,51,,,,175849.0,140309.0,119645.0,117590.0,87183.0,124078.0,113090.0,82078.0,84427.0,68233.0,76417.0,93423.0,13415.0,142080.0,112961.0,109568.0,72038.0,116141.0,91132.0,135751.0,43108.0,92366.0,109806.0,104635.0,153239.0,200689.0,60144.0,10068.0,157311.0,12074.0,39719.0,71181.0,119038.0,33820.0,59829.0,32293.0,159389.0,175174.0,175959.0,137280.0,129259.0,103777.0,153740.0,137034.0,172812.0,116536.0,138000.0,72874.0,,,,,0,145268.0,140309.0,28428.0,0.2,3,109617.0,117590.0,19697.0,0.18,3,93198.0,84427.0,17267.0,0.19,3,79358.0,76417.0,12850.0,0.16,3,89485.0,112961.0,67469.0,0.75,3,99249.0,109568.0,23793.0,0.24,3,89997.0,91132.0,46332.0,0.51,3,102269.0,104635.0,8958.0,0.09,3,138024.0,153239.0,71497.0,0.52,3,59818.0,12074.0,84438.0,1.41,3,76646.0,71181.0,39941.0,0.52,3,41981.0,33820.0,15476.0,0.37,3,170174.0,175174.0,9348.0,0.05,3,123439.0,129259.0,17493.0,0.14,3,154529.0,153740.0,17902.0,0.12,3,109137.0,116536.0,33188.0,0.3,3,,,,,,,,,,,,,,,,233.0,111264.0,,0.0,140309.0,117590.0,84427.0,76417.0,112961.0,109568.0,91132.0,104635.0,153239.0,12074.0,71181.0,33820.0,175174.0,129259.0,153740.0,116536.0,111264.0
C10H10F3NO2,,82.68,233.0652,2.6670005,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,38661.0,75579.0,93145.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,69128.0,75579.0,27809.0,0.4,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,233.0,75579.0,,0.0,,,,,,,,,75579.0,,,,,,,,75579.0
C10H6N2O5,,79.77,234.0274,9.773004,51,,,,,,,,,,,,,,,,,,,,,,47038.0,60200.0,71530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,59589.0,60200.0,12257.0,0.21,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,234.0,60200.0,,0.0,,,,,,,60200.0,,,,,,,,,,60200.0
C12H10O5,,82.55,234.0523,5.091002,51,,,,38704.0,36133.0,39905.0,33573.0,,36619.0,39350.0,30932.0,32195.0,23675.0,27296.0,27739.0,,32582.0,24821.0,28525.0,,36177.0,28294.0,38052.0,32515.0,25731.0,27736.0,26302.0,,44616.0,,,33544.0,,,,22721.0,,,,30872.0,33142.0,45511.0,27381.0,27224.0,25156.0,25439.0,20795.0,31926.0,37495.0,38925.0,21085.0,,,,,0,38247.0,38704.0,1927.0,0.05,3,35096.0,35096.0,2154.0,0.06,2,34159.0,32195.0,4540.0,0.13,3,26237.0,27296.0,2229.0,0.08,3,28702.0,28702.0,5488.0,0.19,2,32351.0,32351.0,5411.0,0.17,2,32954.0,32515.0,4894.0,0.15,3,26590.0,26302.0,1033.0,0.04,3,44616.0,44616.0,,,1,33544.0,33544.0,,,1,22721.0,22721.0,,,1,,,,,0,36508.0,33142.0,7879.0,0.22,3,26587.0,27224.0,1242.0,0.05,3,26053.0,25439.0,5591.0,0.21,3,32502.0,37495.0,9913.0,0.3,3,,,,,,,,,,,,,,,,234.0,32351.0,,0.0,38704.0,35096.0,32195.0,27296.0,28702.0,32351.0,32515.0,26302.0,44616.0,33544.0,22721.0,,33142.0,27224.0,25439.0,37495.0,32351.0
C9H19N2O3P,,96.65,234.1125,4.5590019999999996,51,,,,293295.0,275828.0,266428.0,269731.0,156635.0,272144.0,243911.0,183060.0,235947.0,165865.0,166679.0,168981.0,27434.0,235640.0,116779.0,272514.0,138948.0,320375.0,190908.0,262345.0,170801.0,211626.0,141956.0,217785.0,154619.0,288919.0,,21395.0,433935.0,,18091.0,66129.0,214184.0,19217.0,,15361.0,227404.0,267879.0,294000.0,303236.0,300400.0,268175.0,345765.0,274673.0,403780.0,239113.0,256519.0,92203.0,,,,,0,278517.0,275828.0,13634.0,0.05,3,232837.0,269731.0,66004.0,0.28,3,220973.0,235947.0,33074.0,0.15,3,167175.0,166679.0,1616.0,0.01,3,126618.0,116779.0,104451.0,0.82,3,243946.0,272514.0,94027.0,0.39,3,208018.0,190908.0,48111.0,0.23,3,190456.0,211626.0,42115.0,0.22,3,221769.0,221769.0,94964.0,0.43,2,227665.0,227665.0,291710.0,1.28,2,99468.0,66129.0,102209.0,1.03,3,17289.0,17289.0,2727.0,0.16,2,263094.0,267879.0,33555.0,0.13,3,290604.0,300400.0,19475.0,0.07,3,341406.0,345765.0,64664.0,0.19,3,195945.0,239113.0,90264.0,0.46,3,,,,,,,,,,,,,,,,234.0,231806.0,,0.0,275828.0,269731.0,235947.0,166679.0,116779.0,272514.0,190908.0,211626.0,221769.0,227665.0,66129.0,17289.0,267879.0,300400.0,345765.0,239113.0,231806.0
C6H8N2O8,,85.62,236.03,3.358999,51,,,,49573.0,53795.0,55430.0,46195.0,30269.0,48544.0,46533.0,39989.0,40715.0,60289.0,56655.0,58104.0,,71720.0,56981.0,59165.0,39707.0,70027.0,48190.0,52061.0,31446.0,38685.0,44998.0,40949.0,40468.0,56796.0,40534.0,13209.0,53019.0,32362.0,24564.0,18115.0,39671.0,40827.0,30553.0,29768.0,47530.0,53300.0,63973.0,59137.0,55087.0,54083.0,58319.0,47449.0,66698.0,64173.0,62877.0,40594.0,,,,,0,52933.0,53795.0,3022.0,0.06,3,41669.0,46195.0,9943.0,0.24,3,42412.0,40715.0,3587.0,0.08,3,58349.0,58104.0,1829.0,0.03,3,64350.0,64350.0,10422.0,0.16,2,56300.0,59165.0,15362.0,0.27,3,43899.0,48190.0,10957.0,0.25,3,41544.0,40949.0,3198.0,0.08,3,45933.0,40534.0,9408.0,0.2,3,32863.0,32362.0,19910.0,0.61,3,27450.0,24564.0,11064.0,0.4,3,33716.0,30553.0,6171.0,0.18,3,54934.0,53300.0,8342.0,0.15,3,56102.0,55087.0,2676.0,0.05,3,57489.0,58319.0,9651.0,0.17,3,55881.0,62877.0,13255.0,0.24,3,,,,,,,,,,,,,,,,236.0,50745.0,,0.0,53795.0,46195.0,40715.0,58104.0,64350.0,59165.0,48190.0,40949.0,40534.0,32362.0,24564.0,30553.0,53300.0,55087.0,58319.0,62877.0,50745.0
C14H12N4,,82.54,236.1063,9.225004,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,50503.0,46018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,48260.0,48260.0,3171.0,0.07,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,236.0,48260.0,,0.0,,,,,,,,,48260.0,,,,,,,,48260.0
C11H13FN4O,,97.98,236.107,7.640005,51,,,,245357.0,221723.0,264247.0,179214.0,108339.0,177494.0,109112.0,93884.0,107113.0,66532.0,58179.0,56835.0,32428.0,259282.0,143589.0,280848.0,153014.0,293231.0,218886.0,272689.0,272159.0,,,,68090.0,101357.0,35273.0,19009.0,427894.0,53845.0,,,,,,,105893.0,122735.0,187509.0,,,,1583379.0,1489304.0,1925853.0,1072219.0,1011055.0,256544.0,,,,,0,243776.0,245357.0,21306.0,0.09,3,155016.0,177494.0,40432.0,0.26,3,103370.0,107113.0,8275.0,0.08,3,60515.0,58179.0,5254.0,0.09,3,145100.0,143589.0,113435.0,0.78,3,242364.0,280848.0,77627.0,0.32,3,254578.0,272159.0,30911.0,0.12,3,,,,,0,68240.0,68090.0,33042.0,0.48,3,166916.0,53845.0,226684.0,1.36,3,,,,,0,,,,,0,138712.0,122735.0,43090.0,0.31,3,,,,,0,1666179.0,1583379.0,229751.0,0.14,3,779939.0,1011055.0,454304.0,0.58,3,,,,,,,,,,,,,,,,236.0,160542.0,,0.0,245357.0,177494.0,107113.0,58179.0,143589.0,280848.0,272159.0,,68090.0,53845.0,,,122735.0,,1583379.0,1011055.0,160542.0
C10H14F3NO2,,83.3,237.1002,6.6749988,51,,,,37598.0,35599.0,40007.0,37898.0,24513.0,39574.0,41313.0,38276.0,42484.0,36180.0,34029.0,29536.0,37589.0,49297.0,37370.0,40882.0,24537.0,40055.0,35453.0,41058.0,48448.0,30518.0,33927.0,30563.0,30234.0,38443.0,,,52807.0,,,19091.0,42284.0,,17260.0,,35016.0,41197.0,55947.0,49748.0,53157.0,51064.0,48527.0,47786.0,58311.0,38928.0,39623.0,34902.0,,,,,0,37735.0,37598.0,2207.0,0.06,3,33995.0,37898.0,8254.0,0.24,3,40691.0,41313.0,2172.0,0.05,3,33248.0,34029.0,3390.0,0.1,3,41419.0,37589.0,6824.0,0.16,3,35158.0,40055.0,9207.0,0.26,3,41653.0,41058.0,6518.0,0.16,3,31669.0,30563.0,1955.0,0.06,3,34338.0,34338.0,5805.0,0.17,2,52807.0,52807.0,,,1,30688.0,30688.0,16400.0,0.53,2,17260.0,17260.0,,,1,44053.0,41197.0,10754.0,0.24,3,51323.0,51064.0,1719.0,0.03,3,51541.0,48527.0,5874.0,0.11,3,37818.0,38928.0,2549.0,0.07,3,,,,,,,,,,,,,,,,237.0,38413.0,,0.0,37598.0,37898.0,41313.0,34029.0,37589.0,40055.0,41058.0,30563.0,34338.0,52807.0,30688.0,17260.0,41197.0,51064.0,48527.0,38928.0,38413.0
C6HCl3N2S,,56.36,237.8934,0.94800055,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,33774.0,31940.0,30814.0,,32666.0,33335.0,33332.0,,27087.0,37389.0,20238.0,30287.0,29828.0,29070.0,22014.0,40635.0,31066.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,32176.0,31940.0,1494.0,0.05,3,33000.0,33000.0,473.0,0.01,2,30210.0,30210.0,4416.0,0.15,2,29305.0,30287.0,8618.0,0.29,3,26971.0,29070.0,4309.0,0.16,3,35850.0,35850.0,6766.0,0.19,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,238.0,31114.0,,0.0,,,,,,,,,31940.0,33000.0,30210.0,30287.0,29070.0,35850.0,,,31114.0
C10H12N3O4,,86.46,238.0847,7.9479985,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,121318.0,122181.0,,,17040.0,,,,,,,,,,,18406.0,20376.0,21029.0,39949.0,27620.0,,27671.0,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,121750.0,121750.0,610.0,0.01,2,17040.0,17040.0,,,1,,,,,0,,,,,0,,,,,0,19937.0,20376.0,1365.0,0.07,3,33784.0,33784.0,8718.0,0.26,2,27671.0,27671.0,,,1,,,,,,,,,,,,,,,,238.0,27671.0,,0.0,,,,,,,,,121750.0,17040.0,,,,20376.0,33784.0,27671.0,27671.0
C10H11FN4O2,,85.37,238.0859,4.916,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54097.0,72497.0,59264.0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,61953.0,59264.0,9490.0,0.15,3,,,,,0,,,,,0,,,,,,,,,,,,,,,,238.0,59264.0,,0.0,,,,,,,,,,,,,,59264.0,,,59264.0
C13H18O4,,80.93,238.1217,8.605002,51,,,,365728.0,342151.0,406436.0,384355.0,236964.0,383867.0,343705.0,290485.0,334045.0,351183.0,314346.0,276340.0,300946.0,528706.0,383458.0,468624.0,290584.0,553012.0,365266.0,442827.0,470657.0,278435.0,293232.0,273709.0,229304.0,362724.0,109642.0,22672.0,581815.0,72229.0,99192.0,127673.0,361470.0,85726.0,131907.0,69469.0,302313.0,383326.0,516138.0,533163.0,589207.0,573316.0,588200.0,535677.0,752868.0,476254.0,447458.0,101156.0,,,,,0,371438.0,365728.0,32521.0,0.09,3,335062.0,383867.0,84956.0,0.25,3,322745.0,334045.0,28352.0,0.09,3,313956.0,314346.0,37423.0,0.12,3,404370.0,383458.0,115311.0,0.29,3,437407.0,468624.0,133970.0,0.31,3,426250.0,442827.0,54616.0,0.13,3,281792.0,278435.0,10185.0,0.04,3,233890.0,229304.0,126603.0,0.54,3,225572.0,72229.0,309509.0,1.37,3,196112.0,127673.0,143911.0,0.73,3,95701.0,85726.0,32392.0,0.34,3,400592.0,383326.0,107953.0,0.27,3,565229.0,573316.0,28884.0,0.05,3,625582.0,588200.0,113318.0,0.18,3,341623.0,447458.0,208747.0,0.61,3,,,,,,,,,,,,,,,,238.0,374527.0,,0.0,365728.0,383867.0,334045.0,314346.0,383458.0,468624.0,442827.0,278435.0,229304.0,72229.0,127673.0,85726.0,383326.0,573316.0,588200.0,447458.0,374527.0
C14H14N4,,85.95,238.1232,6.998996000000001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,57183.0,69811.0,,,,,,,,,,,,,,,28010.0,16334.0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,63497.0,63497.0,8929.0,0.14,2,,,,,0,,,,,0,,,,,0,,,,,0,22172.0,22172.0,8256.0,0.37,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,238.0,42834.0,,0.0,,,,,,,,,63497.0,,,,,22172.0,,,42834.0
C7H6Cl2Se,Esi-,50.92,239.9005,0.9900003,44,,,,198711.0,361282.0,55128.0,,,67839.0,88576.0,29061.0,344723.0,29646.0,,88251.0,224558.0,94632.0,211995.0,103275.0,61488.0,93700.0,,62834.0,137331.0,175792.0,21455.0,,447922.0,335064.0,333750.0,39966.0,301567.0,277877.0,363974.0,338882.0,338650.0,278224.0,297378.0,316636.0,349904.0,356069.0,338021.0,332546.0,332536.0,334152.0,164000.0,221922.0,212731.0,272098.0,165524.0,301093.0,,,,,0,205040.0,198711.0,153175.0,0.75,3,67839.0,67839.0,,,1,154120.0,88576.0,167728.0,1.09,3,58948.0,58948.0,41440.0,0.7,2,177062.0,211995.0,71662.0,0.4,3,86154.0,93700.0,21892.0,0.25,3,100082.0,100082.0,52677.0,0.53,2,98624.0,98624.0,109133.0,1.11,2,372245.0,335064.0,65541.0,0.18,3,206470.0,277877.0,144682.0,0.7,3,347169.0,338882.0,14554.0,0.04,3,297413.0,297378.0,19206.0,0.06,3,347998.0,349904.0,9174.0,0.03,3,333078.0,332546.0,930.0,0.0,3,199551.0,212731.0,31129.0,0.16,3,246238.0,272098.0,71388.0,0.29,3,,,,,,,,,,,,,,,,240.0,212363.0,,0.0,198711.0,67839.0,88576.0,58948.0,211995.0,93700.0,100082.0,98624.0,335064.0,277877.0,338882.0,297378.0,349904.0,332546.0,212731.0,272098.0,212363.0
C10H8O5S,,73.69,240.0121,6.692996000000001,51,,,,28145.0,82849.0,,82839.0,46100.0,88476.0,,,24426.0,,,,,97510.0,53446.0,85508.0,23860.0,63705.0,,102621.0,,,,18007.0,,,,,,,,,,,,,,,,,,,,,21465.0,,,,,,,,0,55497.0,55497.0,38682.0,0.7,2,72472.0,82839.0,23012.0,0.32,3,24426.0,24426.0,,,1,,,,,0,75478.0,75478.0,31158.0,0.41,2,57691.0,63705.0,31261.0,0.54,3,102621.0,102621.0,,,1,18007.0,18007.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,21465.0,21465.0,,,1,,,,,0,,,,,,,,,,,,,,,,240.0,59601.0,,0.0,55497.0,82839.0,24426.0,,75478.0,63705.0,102621.0,18007.0,,,,,,,21465.0,,59601.0
C6H4N6O5,,83.05,240.0261,1.9619997999999998,51,,,,369243.0,348423.0,348843.0,328319.0,225412.0,374725.0,403294.0,346273.0,383725.0,371282.0,407791.0,415321.0,68385.0,537690.0,422214.0,379309.0,251043.0,432266.0,392645.0,486650.0,321994.0,487397.0,505834.0,506809.0,253381.0,348370.0,150660.0,,336376.0,,60536.0,192350.0,374884.0,164657.0,141972.0,146110.0,350492.0,389388.0,408055.0,416821.0,402351.0,424859.0,374234.0,340901.0,414754.0,386938.0,434256.0,231164.0,,,,,0,355503.0,348843.0,11901.0,0.03,3,309485.0,328319.0,76417.0,0.25,3,377764.0,383725.0,28974.0,0.08,3,398131.0,407791.0,23555.0,0.06,3,342763.0,422214.0,244532.0,0.71,3,354206.0,379309.0,93183.0,0.26,3,400430.0,392645.0,82604.0,0.21,3,500013.0,505834.0,10937.0,0.02,3,250804.0,253381.0,98880.0,0.39,3,336376.0,336376.0,,,1,209257.0,192350.0,157854.0,0.75,3,150913.0,146110.0,12081.0,0.08,3,382645.0,389388.0,29368.0,0.08,3,414677.0,416821.0,11406.0,0.03,3,376630.0,374234.0,36985.0,0.1,3,350786.0,386938.0,106263.0,0.3,3,,,,,,,,,,,,,,,,240.0,381517.0,,0.0,348843.0,328319.0,383725.0,407791.0,422214.0,379309.0,392645.0,505834.0,253381.0,336376.0,192350.0,146110.0,389388.0,416821.0,374234.0,386938.0,381517.0
C11H12O6,,83.6,240.0636,3.9589999,51,,,,89562.0,93074.0,86306.0,85922.0,50395.0,78807.0,73164.0,63823.0,81256.0,69026.0,61481.0,63424.0,,123915.0,86108.0,91792.0,58521.0,115479.0,65327.0,84595.0,57830.0,64810.0,87452.0,63936.0,49384.0,89610.0,,,124175.0,,,24867.0,68249.0,,,,58103.0,66424.0,84777.0,87787.0,82603.0,77391.0,99876.0,82271.0,121593.0,83519.0,76896.0,31319.0,,,,,0,89647.0,89562.0,3385.0,0.04,3,71708.0,78807.0,18797.0,0.26,3,72748.0,73164.0,8724.0,0.12,3,64644.0,63424.0,3918.0,0.06,3,105012.0,105012.0,26734.0,0.25,2,88597.0,91792.0,28613.0,0.32,3,69251.0,65327.0,13807.0,0.2,3,72066.0,64810.0,13332.0,0.18,3,69497.0,69497.0,28444.0,0.41,2,124175.0,124175.0,,,1,46558.0,46558.0,30676.0,0.66,2,,,,,0,69768.0,66424.0,13648.0,0.2,3,82594.0,82603.0,5198.0,0.06,3,101247.0,99876.0,19697.0,0.19,3,63911.0,76896.0,28419.0,0.44,3,,,,,,,,,,,,,,,,240.0,76896.0,,0.0,89562.0,78807.0,73164.0,63424.0,105012.0,91792.0,65327.0,64810.0,69497.0,124175.0,46558.0,,66424.0,82603.0,99876.0,76896.0,76896.0
C13H13F3N 5.3959975,,87.07,240.0993,5.3959975,51,,,,,,23847.0,19575.0,,,23413.0,23483.0,23826.0,24012.0,20592.0,21698.0,,,,23097.0,,29398.0,23306.0,21246.0,,22846.0,,23106.0,,27995.0,18984.0,,35780.0,,,,26709.0,,18246.0,,26804.0,29080.0,32201.0,31271.0,37324.0,29155.0,33352.0,20615.0,34846.0,26154.0,34030.0,,,,,,0,23847.0,23847.0,,,1,19575.0,19575.0,,,1,23574.0,23483.0,221.0,0.01,3,22101.0,21698.0,1745.0,0.08,3,,,,,0,26248.0,26248.0,4455.0,0.17,2,22276.0,22276.0,1457.0,0.07,2,22976.0,22976.0,184.0,0.01,2,23490.0,23490.0,6372.0,0.27,2,35780.0,35780.0,,,1,26709.0,26709.0,,,1,18246.0,18246.0,,,1,29362.0,29080.0,2710.0,0.09,3,32583.0,31271.0,4240.0,0.13,3,29604.0,33352.0,7821.0,0.26,3,30092.0,30092.0,5569.0,0.19,2,,,,,,,,,,,,,,,,240.0,23847.0,,0.0,23847.0,19575.0,23483.0,21698.0,,26248.0,22276.0,22976.0,23490.0,35780.0,26709.0,18246.0,29080.0,31271.0,33352.0,30092.0,23847.0
C8H12N6O3,,78.71,240.0995,7.020997500000001,51,,,,,,,15536.0,,,19407.0,19882.0,21461.0,19449.0,22114.0,,17321.0,,,18128.0,,20622.0,24733.0,19865.0,25528.0,19191.0,,18153.0,37433.0,38688.0,,,43317.0,,,,21709.0,,,,31769.0,23177.0,25677.0,24868.0,22038.0,22756.0,33761.0,43430.0,28492.0,25003.0,25036.0,43274.0,,,,,0,,,,,0,15536.0,15536.0,,,1,20250.0,19882.0,1075.0,0.05,3,20782.0,20782.0,1884.0,0.09,2,17321.0,17321.0,,,1,19375.0,19375.0,1764.0,0.09,2,23375.0,24733.0,3066.0,0.13,3,18672.0,18672.0,734.0,0.04,2,38060.0,38060.0,887.0,0.02,2,43317.0,43317.0,,,1,21709.0,21709.0,,,1,,,,,0,26874.0,25677.0,4419.0,0.16,3,23221.0,22756.0,1471.0,0.06,3,35228.0,33761.0,7576.0,0.22,3,31104.0,25036.0,10539.0,0.34,3,,,,,,,,,,,,,,,,240.0,22232.0,,0.0,,15536.0,19882.0,20782.0,17321.0,19375.0,24733.0,18672.0,38060.0,43317.0,21709.0,,25677.0,22756.0,33761.0,25036.0,22232.0
